,x_gnl,y_gnl,z_gnl,r_gnl,x_gt,y_gt,z_gt,r_gt,match_distance
79,-44.62,-25.76,138.08,147.37913149425194,-48.26353299895086,-27.186052322034545,136.58301701096536,147.38850224564627,4.18926198859454
80,-86.88,-70.14,96.23,147.40409390515583,-84.07937756778823,-67.81093810250685,99.66423001647621,146.97150677361168,5.006191280427497
81,-50.23,12.94,138.0,147.42624087997362,-51.16669756152115,11.171048906044064,136.47156791241974,146.17562081786278,2.5184707544286695
82,-142.21,-29.97,24.97,147.46316794372757,-141.83483781327658,-31.806857612225933,29.456084478503275,148.31203026554388,4.862072243622824
83,-107.15,82.21,59.3,147.49947999908338,-102.9096848001328,79.02676895215248,65.12895071449918,145.18062425079745,7.879714419334362
84,57.09,131.46,-35.08,147.55204539415917,59.56651270444241,132.6255067390821,-40.03231141230409,150.79880778898257,5.658348651200965
85,117.28,-85.6,26.52,147.59833603398107,120.1458473378054,-87.67324673152999,30.199168955644137,151.7682859841888,5.10369642294501
86,-104.49,98.03,-35.54,147.61819874256696,-104.37521884721076,99.31348843968198,-40.79348988422921,149.73798486822471,5.409221131690915
87,-106.43,-32.09,97.13,147.61893476109358,-101.80849568919052,-32.23962310065034,100.61424037224215,146.72282868678354,5.789699486039066
88,-44.88,-140.54,-5.42,147.63157656815835,-47.87558033542836,-144.09122071340184,-5.706770029837104,151.94379981857037,4.654772513379378
89,104.65,-100.78,26.39,147.66402066854337,107.52202788856124,-102.5725233940651,30.570298914176824,151.71239966593598,5.379273493959207
90,-75.95,111.66,59.78,147.68211299950985,-73.16010131548593,106.89455233493555,65.36629396868135,145.0916887026218,7.854916067205752
91,140.43,-45.54,-4.44,147.69627652720294,143.7638133879656,-47.24279971597884,-5.398186757613447,151.42343472898756,3.8641894934102297
92,128.77,63.3,-35.01,147.6966587299794,130.42222307008035,65.99996625928155,-40.01605240617873,151.54945155605859,5.922855693664365
93,-13.79,-53.52,136.97,147.700153689832,-18.80419438118267,-54.38821729836056,136.30572870538117,147.95582984500462,5.1319784608190755
94,141.87,-31.55,26.72,147.77164071634314,143.75656335230255,-32.37346020235658,30.51963597519727,150.48401447461686,4.321393470991676
95,97.56,-110.88,-5.01,147.77492378614176,101.32936295210904,-114.17941007896414,-5.503587520039675,152.75754304731154,5.033669891226602
96,145.32,-26.75,-3.86,147.81192272614547,148.64709188524523,-27.657192922169838,-4.569635228552646,151.26718022226993,3.5208126289967105
97,133.19,-63.96,-4.75,147.82767061683683,136.93343647541838,-66.19245734197851,-5.09515690770722,152.17808008333935,4.3722209139274435
98,147.35,11.49,-4.1,147.85415990089695,150.7586608893433,12.548830619164919,-4.820129409258989,151.35679908936535,3.6412467239531554
99,124.05,-80.34,-4.98,147.87737656585608,127.50037415392933,-83.29881581533407,-5.534741962003034,152.3997096264126,4.579018614897902
100,-51.16,-6.81,138.58,147.87879530209867,-53.26439248678361,-8.249226534707496,136.5279399433371,146.78223199889865,3.272734519142811
101,136.4,-50.62,26.73,147.925107064352,138.7406127763817,-52.211839459021476,30.476644247533404,151.3402116354118,4.695717639491774
102,-73.19,-126.14,25.34,148.02091507621483,-74.28476121522615,-128.14178040842904,29.772156380304345,151.07919423460834,4.9849410328915935
103,-42.09,31.06,138.49,148.03976425271694,-42.292555760554194,29.311305024569325,135.91477778082833,145.32941785548746,3.119412193241809
104,89.9,-114.58,26.61,148.04958122196766,92.91572380525203,-116.20238677534091,30.572586633997116,151.8914397720723,5.237253263906322
105,40.22,129.43,59.64,148.07667912267618,39.8658000628058,124.23919160989598,65.34379849865078,145.92625106114502,7.720315191201305
106,58.37,122.12,60.09,148.0917263050168,58.018088600875046,117.17539668100069,65.51268317289005,146.24665414552337,7.3470018652943025
107,-39.72,129.68,59.48,148.09608772685388,-38.41348345651948,123.92457107313781,65.14559249738119,145.17865975672984,8.181129870435527
108,111.36,-97.59,-4.97,148.1538342399548,115.39662991952123,-100.8817150054558,-5.483443053155906,153.3739572644005,5.233869749349034
109,136.97,44.59,-34.66,148.15655436058168,138.66248605816975,46.97045973426983,-39.748195538316914,151.70177380648212,5.866926916174014
110,147.93,-8.02,-3.76,148.19494896925468,151.16254203156504,-7.555651017055505,-4.613494073864608,151.42155164739853,3.3754111005799246
111,38.11,139.0,-34.55,148.21293668232877,40.47337237193899,139.65282734965078,-39.985864888124205,150.79746499447637,5.9632490807309235
112,-72.94,124.14,-35.22,148.22763440060697,-73.4989031205839,124.8923528638633,-40.40706793996649,150.44241324608493,5.271060741804246
113,-111.42,-12.58,97.0,148.2621758912232,-105.63696017374895,-13.573660909015667,100.22001308888943,146.24453032083056,6.693235086767156
114,-117.76,82.68,-35.86,148.28802918644513,-117.12512207855696,84.19510918196245,-41.14644343792029,150.00046813150092,5.535802564283995
115,76.89,111.39,60.62,148.30572679434871,75.4889147022958,107.1150581188014,65.93163823950329,146.69421542674894,6.960723301958086
116,-58.87,122.47,59.49,148.33623259338898,-56.71242409821827,117.12137712853645,65.278722297665,145.58512153512356,8.171426205539404
117,-111.16,8.9,97.83,148.34575996637045,-105.3057321464683,6.991231411212643,100.7839207509747,145.93002851191252,6.829458062648517
118,82.39,-123.31,-4.82,148.38025677292785,85.60809467640162,-126.55599057333222,-5.296514900741622,152.8830196399027,4.595612537962147
119,142.07,25.74,-34.37,148.4174160939342,143.6650020256524,27.665248959962724,-39.79890012052858,151.62107788118126,5.976919903959571
120,-133.18,28.77,58.91,148.44195296478688,-127.33080136476748,26.67151820507442,65.01111630904592,145.43365533227094,8.708637708306979
121,-26.67,-145.95,-5.3,148.4613801633273,-28.850107865997288,-149.1936847484604,-5.42329501179428,152.05425486150534,3.910187043443236
122,5.47,-56.67,137.13,148.47911199896097,0.6798747376296891,-58.148709352143186,135.93216467234203,147.8488688542716,5.15428858810791
123,28.05,43.75,139.09,148.4819622041681,29.02408130888982,42.64258110729161,136.24652333308336,145.68425494771017,3.203212536744223
124,93.83,97.75,60.77,148.49957676707365,91.26078191407552,94.13459903375177,65.97731750548357,146.7748598229038,6.840187228629466
125,10.23,50.96,139.16,148.54992460449114,10.870565504307077,49.540126025101316,136.47507975841856,145.59478244783728,3.1040558908557845
126,74.05,-126.26,25.76,148.62223151332373,76.81353761381578,-127.6932503034573,30.34181567715101,152.07403299839422,5.539348470237439
127,-90.76,112.19,-35.57,148.6243539935498,-90.88980859152306,113.1893967986195,-40.776833048964335,150.78311234001686,5.303466284545546
128,-127.74,47.26,59.5,148.63130625813662,-121.92047771344083,44.938533683333205,65.21122504186263,145.38424456227074,8.477861580727543
129,144.45,5.95,-34.51,148.63426623763445,145.73048139441897,7.3291263134680715,-39.778634782456976,151.2396412489925,5.594652309202844
130,116.7,-85.42,-34.32,148.63824810593,119.83327016341549,-86.06029078169622,-40.276254197494474,152.93319763762682,6.76049689499562
131,-75.53,82.2,98.16,148.65061890217612,-71.4676932213306,76.14284996490102,100.6963244836363,145.06934390032038,7.721680179728757
132,136.09,-49.65,-33.77,148.74818822426042,138.20492384275633,-50.04421034985233,-39.70102258039322,152.25371968477893,6.309146813137582
133,-37.91,-141.54,25.64,148.7553336858884,-38.13828376642746,-142.73857161078783,30.02186548752517,150.76518471280963,4.5485637881605046
